Arrival Mean,Service Mean,Traffic Intensity,Max Delay,Average Delay,Max Queue Length,Average Queue Length,Busy Ratio,Idle Ratio,Total Runtime
5,0.75,0.05,3.91281,0.741566,0,0,0.0505584,0.949442,495.084
5,1.5,0.1,7.43669,1.49099,0.233333,0.000776894,0.0991035,0.900896,509.311
5,2.25,0.15,11.4211,2.19117,0.566667,0.00372073,0.147435,0.852565,505.88
5,3,0.2,15.8699,2.94858,1.13333,0.0166641,0.194703,0.805297,507.25
5,3.75,0.25,18.3775,3.60625,1.3,0.0174084,0.239796,0.760204,510.177
5,4.5,0.3,24.912,4.64697,1.66667,0.076676,0.30411,0.69589,506.03
5,5.25,0.35,32.1295,5.83536,2.6,0.20409,0.363789,0.636211,496.154
5,6,0.4,36.3364,6.64065,2.76667,0.28216,0.403395,0.596605,500.563
5,6.75,0.45,43.1783,8.17,3.8,0.513925,0.440101,0.559899,518.331
5,7.5,0.5,53.7814,10.0106,4.06667,0.822644,0.506389,0.493611,500.623
5,8.25,0.55,59.5607,12.292,4.73333,1.33637,0.52185,0.47815,536.261
5,9,0.6,83.341,16.1143,5.33333,1.73707,0.602235,0.397765,520.979
5,9.75,0.65,113.598,21.8481,6.06667,2.99184,0.654206,0.345794,515.253
5,10.5,0.7,108.459,21.5897,6.76667,2.86188,0.657245,0.342755,535.937
5,11.25,0.75,147.051,31.7235,7.83333,4.70454,0.703192,0.296808,538.343
5,12,0.8,183.464,39.0283,8.7,5.72785,0.760441,0.239559,526.298
5,12.75,0.85,194.638,41.119,8.03333,5.16201,0.765081,0.234919,561.066
5,13.5,0.9,261.608,71.6072,11.9333,11.4418,0.813866,0.186134,565.997
5,14.25,0.95,322.844,87.6369,13.6667,14.5714,0.836022,0.163978,585.677
